review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
Active and granted system,5,2025-10-27,CBE,Google Play,positive,0.998322069644928,Other
fast app,4,2025-10-27,CBE,Google Play,positive,0.9983617663383484,Other
cool 😎,5,2025-10-27,CBE,Google Play,positive,0.9997991919517517,Other
Galaxy A10s,3,2025-10-26,CBE,Google Play,positive,0.8983982801437378,Other
the best apps,5,2025-10-26,CBE,Google Play,positive,0.9998617172241211,Other
arif app new,5,2025-10-26,CBE,Google Play,neutral,-0.5203981995582581,Other
laga Bari biranch,5,2025-10-26,CBE,Google Play,negative,-0.9922856092453003,Other
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,negative,-0.6970565915107727,Other
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,negative,-0.9949776530265808,Other
Attractive,5,2025-10-25,CBE,Google Play,positive,0.9998689889907837,Other
mite,5,2025-10-24,CBE,Google Play,negative,-0.9965571165084839,Other
useful,5,2025-10-24,CBE,Google Play,positive,0.9997634291648865,Other
"not good, not bad!",3,2025-10-23,CBE,Google Play,negative,-0.9981550574302673,Other
very good,5,2025-10-23,CBE,Google Play,positive,0.9998520612716675,Other
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,negative,-0.9546589255332947,Other
imp,5,2025-10-22,CBE,Google Play,negative,-0.9978600144386292,Other
super fast app,5,2025-10-21,CBE,Google Play,positive,0.9976546168327332,Other
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,negative,-0.9983618855476379,Account Access Issues;Transaction Performance;UI & UX
cbe,4,2025-10-18,CBE,Google Play,positive,0.9966009855270386,Other
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,negative,-0.9991005659103394,Other
blah blah blah,5,2025-10-18,CBE,Google Play,negative,-0.9977899789810181,Other
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,negative,-0.9995405673980713,Other
CBE no.1,5,2025-10-17,CBE,Google Play,positive,0.9968194961547852,Other
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,positive,0.996988832950592,Other
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,positive,0.9997401833534241,Other
gooof,5,2025-10-16,CBE,Google Play,negative,-0.996545135974884,Other
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,negative,-0.9996702671051025,Customer Support
Best app,5,2025-10-16,CBE,Google Play,positive,0.999686598777771,Other
still not perfect like before,1,2025-10-15,CBE,Google Play,negative,-0.9995744824409485,Other
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,negative,-0.9985210299491882,Other
APPLIED,1,2025-10-14,CBE,Google Play,positive,0.9989719390869141,Other
10 years ago,4,2025-10-14,CBE,Google Play,positive,0.9060004353523254,Other
Asefa Obsa,5,2025-10-14,CBE,Google Play,negative,-0.9988316893577576,Other
it's good app,5,2025-10-14,CBE,Google Play,positive,0.9998689889907837,Other
very slow,1,2025-10-14,CBE,Google Play,negative,-0.9997065663337708,Transaction Performance
berhan deriba wami,4,2025-10-14,CBE,Google Play,positive,0.7555697560310364,Other
mahamad Usman,5,2025-10-13,CBE,Google Play,positive,0.9890894293785095,Other
Erako,5,2025-10-13,CBE,Google Play,positive,0.9978224039077759,Other
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,negative,-0.6970565915107727,Other
opne,5,2025-10-13,CBE,Google Play,negative,-0.7972500920295715,Other
mehommd nuri,5,2025-10-13,CBE,Google Play,positive,0.9508018493652344,Other
Best,5,2025-10-12,CBE,Google Play,positive,0.9997941851615906,Other
providing very secure service.,5,2025-10-12,CBE,Google Play,positive,0.9993906021118164,Other
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,negative,-0.9760127663612366,Other
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,negative,-0.8832131028175354,Other
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,positive,0.9531126022338867,Other
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,negative,-0.9994134902954102,Other
Mamma Husen,2,2025-10-11,CBE,Google Play,positive,0.9694636464118958,Other
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,negative,-0.9932369589805603,Other
exceptional application from others bank,5,2025-10-10,CBE,Google Play,positive,0.9996663331985474,Crashes & Stability
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,negative,-0.9849932193756104,Other
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,negative,-0.6970565915107727,Other
really good app,5,2025-10-10,CBE,Google Play,positive,0.9998643398284912,Other
smart bank CBE,5,2025-10-10,CBE,Google Play,positive,0.9971417784690857,Other
Ali urgesa11,3,2025-10-09,CBE,Google Play,negative,-0.9212201833724976,Other
it's good,5,2025-10-09,CBE,Google Play,positive,0.9998360872268677,Other
Good apps,5,2025-10-09,CBE,Google Play,positive,0.9998608827590942,Other
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,negative,-0.8905713558197021,Account Access Issues
best app i ever seen,5,2025-10-09,CBE,Google Play,positive,0.999450147151947,Other
it's game changing in financial system,4,2025-10-09,CBE,Google Play,positive,0.9973504543304443,Other
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,negative,-0.9171797633171082,Other
will good updating,5,2025-10-09,CBE,Google Play,positive,0.9998600482940674,Other
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,negative,-0.9994321465492249,Other
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,negative,-0.9981147050857544,Other
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,positive,0.9998753070831299,Other
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,positive,0.9998462200164795,Other
user compatible app!,5,2025-10-08,CBE,Google Play,positive,0.9933547973632812,Other
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,negative,-0.9972966313362122,Account Access Issues
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,positive,0.9998732805252075,Other
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,positive,0.9998595714569092,Other
Asledin Ibsa,5,2025-10-06,CBE,Google Play,positive,0.9360381364822388,Other
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,negative,-0.9996823072433472,Other
my bank,5,2025-10-05,CBE,Google Play,negative,-0.845909595489502,Other
Data,5,2025-10-04,CBE,Google Play,positive,0.961766242980957,Other
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,negative,-0.9996047616004944,Account Access Issues
excellent app with lots of features,5,2025-10-04,CBE,Google Play,positive,0.9998672008514404,Other
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,positive,0.9998119473457336,Other
so special,5,2025-10-04,CBE,Google Play,positive,0.9998575448989868,Other
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,negative,-0.9492278099060059,Other
woow cbe,5,2025-10-03,CBE,Google Play,positive,0.8725982308387756,Other
cbe the best bank app,4,2025-10-03,CBE,Google Play,positive,0.9993187189102173,Other
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,positive,0.9998519420623779,Other
Rijalufaris,5,2025-10-02,CBE,Google Play,positive,0.678228497505188,Other
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,negative,-0.9902864098548889,Other
imoo,3,2025-10-02,CBE,Google Play,positive,0.9941620230674744,Other
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,positive,0.9915570020675659,Other
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,negative,-0.9965750575065613,Other
enkorabetalen,5,2025-10-01,CBE,Google Play,positive,0.9099953174591064,Other
Gamada mahamadi,1,2025-10-01,CBE,Google Play,positive,0.7746045589447021,Other
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,negative,-0.9974638223648071,Other
verfcasencod,5,2025-09-30,CBE,Google Play,negative,-0.8742530941963196,Other
you can't get your own transaction history,1,2025-09-29,CBE,Google Play,negative,-0.9996032118797302,Other
sintu,5,2025-09-29,CBE,Google Play,negative,-0.9596135020256042,Other
BEST,5,2025-09-28,CBE,Google Play,positive,0.9997941851615906,Other
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,positive,0.9304206371307373,Other
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,negative,-0.8200955390930176,Other
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,positive,0.9998365640640259,Other
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play,negative,-0.9997864365577698,Other
niceapp,5,2025-09-27,CBE,Google Play,positive,0.9998270869255066,Other
the best app of all,5,2025-09-25,CBE,Google Play,positive,0.9998633861541748,Other
❤️,5,2025-09-25,CBE,Google Play,negative,-0.6970565915107727,Other
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,negative,-0.9988370537757874,Account Access Issues
Juhaar,5,2025-09-24,CBE,Google Play,negative,-0.6955298185348511,Other
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,positive,0.999567449092865,Other
bist app tankyou,4,2025-09-23,CBE,Google Play,negative,-0.9962037205696106,Other
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,positive,0.9998074173927307,Other
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,positive,0.9998519420623779,Other
So good,5,2025-09-23,CBE,Google Play,positive,0.999841570854187,Other
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play,negative,-0.9990800619125366,Other
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,negative,-0.9970171451568604,Other
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,negative,-0.7687899470329285,Transaction Performance
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,negative,-0.9989680051803589,Crashes & Stability
very important app,4,2025-09-21,CBE,Google Play,positive,0.9995480179786682,Other
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,positive,0.9998689889907837,Other
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,positive,0.9943898320198059,Other
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,positive,0.9983887672424316,Transaction Performance
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,negative,-0.9951974749565125,Other
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,negative,-0.9981855750083923,Other
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play,negative,-0.932232677936554,Other
asfaw damse,5,2025-09-19,CBE,Google Play,negative,-0.987163245677948,Other
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play,negative,-0.962352991104126,Other
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play,negative,-0.9511564373970032,UI & UX
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play,negative,-0.9966429471969604,Other
Truly amazing!,5,2025-09-18,CBE,Google Play,positive,0.9998810291290283,Other
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play,negative,-0.992244303226471,Other
😎,5,2025-09-18,CBE,Google Play,negative,-0.6970565915107727,Other
JanaleBl,5,2025-09-17,CBE,Google Play,positive,0.9632813930511475,Other
nice application,5,2025-09-17,CBE,Google Play,positive,0.9998229146003723,Other
WaaaaaaaW,1,2025-09-17,CBE,Google Play,negative,-0.9848952293395996,Other
very nice,5,2025-09-16,CBE,Google Play,positive,0.9998563528060913,Other
Of,5,2025-09-16,CBE,Google Play,positive,0.9193394780158997,Other
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,Google Play,positive,0.9983494281768799,Other
Easy to use and not Complicated 👍,5,2025-09-15,CBE,Google Play,positive,0.9179602265357971,Other
apdat the app,5,2025-09-14,CBE,Google Play,negative,-0.9424067139625549,Other
good in bankin at any time & any where.,5,2025-09-13,CBE,Google Play,positive,0.9995506405830383,Other
great,5,2025-09-13,CBE,Google Play,positive,0.9998630285263062,Other
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,CBE,Google Play,negative,-0.9998034834861755,Crashes & Stability;Transaction Performance
it is best to me,1,2025-09-13,CBE,Google Play,positive,0.9966468214988708,Other
hayizgi mebrahtom feshay,5,2025-09-13,CBE,Google Play,negative,-0.6387802362442017,Other
Excellent app,5,2025-09-12,CBE,Google Play,positive,0.9998356103897095,Other
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,CBE,Google Play,negative,-0.9993560910224915,Other
love,5,2025-09-12,CBE,Google Play,positive,0.9998735189437866,Other
Hasasa bank,1,2025-09-11,CBE,Google Play,positive,0.8199579119682312,Other
All ways Trusted.,5,2025-09-11,CBE,Google Play,positive,0.9988715052604675,Other
best MB application in Ethiopia financial sector.,5,2025-09-11,CBE,Google Play,positive,0.9990665316581726,Other
I like this app,5,2025-09-11,CBE,Google Play,positive,0.9996516704559326,Other
am tired why I have to update every 5 day,1,2025-09-11,CBE,Google Play,negative,-0.9996090531349182,Other
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,CBE,Google Play,negative,-0.9974377155303955,Crashes & Stability
good morning 🙏,5,2025-09-10,CBE,Google Play,positive,0.9997515082359314,Other
am happy 😃,5,2025-09-09,CBE,Google Play,positive,0.9998183846473694,Other
wowww,5,2025-09-08,CBE,Google Play,positive,0.9972698092460632,Other
KEHRU nasir AbFIXA,5,2025-09-08,CBE,Google Play,positive,0.8188510537147522,Other
It is well organized.,5,2025-09-08,CBE,Google Play,positive,0.9998693466186523,Other
Can't see the nearest Branch or ATM available,2,2025-09-08,CBE,Google Play,negative,-0.9962969422340393,Other
the app does not open,1,2025-09-07,CBE,Google Play,negative,-0.9997572302818298,Other
from Monk,3,2025-09-06,CBE,Google Play,positive,0.9398741722106934,Other
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,CBE,Google Play,positive,0.9996967315673828,Other
incredible,5,2025-09-06,CBE,Google Play,positive,0.9998753070831299,Other
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,CBE,Google Play,negative,-0.9570397138595581,Other
